;devTeam;key;lastMove;observationDate;sp;type
61;Team O;TUH-1250;25/03/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
62;Team O;TUH-1245;17/02/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
63;Team M;TUH-1244;27/02/2020;2020-05-22 15:04:30.182284;3.0;Task
64;Team S;TUH-1243;06/04/2020;2020-05-22 15:04:30.182284;1.0;Story
65;Team O;TUH-1241;09/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
66;Team M;TUH-1240;12/02/2020;2020-05-22 15:04:30.182284;3.0;Task
67;Team S;TUH-1238;30/04/2020;2020-05-22 15:04:30.182284;3.0;Story
68;Team S;TUH-1237;30/04/2020;2020-05-22 15:04:30.182284;2.0;Story
69;Team S;TUH-1236;07/05/2020;2020-05-22 15:04:30.182284;2.0;Story
70;Team S;TUH-1235;20/04/2020;2020-05-22 15:04:30.182284;1.0;Story
71;Team S;TUH-1234;23/04/2020;2020-05-22 15:04:30.182284;2.0;Story
72;Team S;TUH-1233;11/05/2020;2020-05-22 15:04:30.182284;2.0;Story
73;Team S;TUH-1232;13/02/2020;2020-05-22 15:04:30.182284;2.0;Task
74;Team O;TUH-1224;05/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
75;Team O;TUH-1223;05/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
76;Team O;TUH-1222;26/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
77;Team O;TUH-1218;20/04/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
78;Team O;TUH-1197;11/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
79;Team M;TUH-1194;22/01/2020;2020-05-22 15:04:30.182284;5.0;Task
80;Team M;TUH-1192;12/02/2020;2020-05-22 15:04:30.182284;5.0;Task
81;Team O;TUH-1190;10/02/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
82;Team O;TUH-1189;26/02/2020;2020-05-22 15:04:30.182284;1.0;Ops Task
83;Team O;TUH-1186;25/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
84;Team O;TUH-1185;09/03/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
85;Team O;TUH-1184;29/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
86;Team O;TUH-1182;26/02/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
87;Team O;TUH-1181;13/02/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
88;Team S;TUH-1180;15/01/2020;2020-05-22 15:04:30.182284;3.0;Task
89;Team O;TUH-1179;17/12/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
90;Team O;TUH-1177;09/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
91;Team O;TUH-1176;12/02/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
92;Team O;TUH-1175;29/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
93;Team O;TUH-1174;11/03/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
94;Team O;TUH-1170;13/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
95;Team O;TUH-1169;27/01/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
96;Team O;TUH-1168;16/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
97;Team S;TUH-1166;26/02/2020;2020-05-22 15:04:30.182284;3.0;Story
98;Team S;TUH-1165;28/01/2020;2020-05-22 15:04:30.182284;3.0;Story
99;Team S;TUH-1164;18/12/2019;2020-05-22 15:04:30.182284;2.0;Story
100;Team S;TUH-1160;18/12/2019;2020-05-22 15:04:30.182284;1.0;Story
101;Team S;TUH-1159;22/01/2020;2020-05-22 15:04:30.182284;1.0;Story
102;Team O;TUH-1156;17/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
103;Team O;TUH-1154;16/01/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
104;Team M;TUH-1149;18/12/2019;2020-05-22 15:04:30.182284;2.0;Story
105;Team S;TUH-1148;13/02/2020;2020-05-22 15:04:30.182284;3.0;Story
106;Team O;TUH-1147;13/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
107;Team O;TUH-1145;29/11/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
108;Team O;TUH-1144;05/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
109;Team M;TUH-1142;15/01/2020;2020-05-22 15:04:30.182284;5.0;Story
110;Team O;TUH-1138;20/02/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
111;Team O;TUH-1137;18/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
112;Team O;TUH-1136;29/01/2020;2020-05-22 15:04:30.182284;3.0;Ops Task
113;Team S;TUH-1135;13/12/2019;2020-05-22 15:04:30.182284;1.0;Story
114;Team S;TUH-1134;15/01/2020;2020-05-22 15:04:30.182284;1.0;Story
115;Team S;TUH-1133;12/12/2019;2020-05-22 15:04:30.182284;2.0;Story
116;Team S;TUH-1132;12/12/2019;2020-05-22 15:04:30.182284;2.0;Story
117;Team S;TUH-1131;09/04/2020;2020-05-22 15:04:30.182284;3.0;Task
118;Team S;TUH-1127;10/03/2020;2020-05-22 15:04:30.182284;0.0;Story
119;Team S;TUH-1126;05/02/2020;2020-05-22 15:04:30.182284;5.0;Story
120;Team M;TUH-1124;04/12/2019;2020-05-22 15:04:30.182284;3.0;Story
121;Team S;TUH-1121;11/03/2020;2020-05-22 15:04:30.182284;3.0;Story
122;Team S;TUH-1120;15/01/2020;2020-05-22 15:04:30.182284;2.0;Story
123;Team S;TUH-1119;13/02/2020;2020-05-22 15:04:30.182284;2.0;Story
124;Team S;TUH-1118;28/01/2020;2020-05-22 15:04:30.182284;3.0;Story
125;Team S;TUH-1117;20/11/2019;2020-05-22 15:04:30.182284;2.0;Story
126;Team S;TUH-1116;19/11/2019;2020-05-22 15:04:30.182284;2.0;Story
127;Team O;TUH-1113;04/12/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
128;Team O;TUH-1112;20/11/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
129;Team S;TUH-1111;20/11/2019;2020-05-22 15:04:30.182284;2.0;Story
130;Team S;TUH-1110;14/11/2019;2020-05-22 15:04:30.182284;1.0;Story
131;Team S;TUH-1109;28/01/2020;2020-05-22 15:04:30.182284;5.0;Story
132;Team S;TUH-1108;19/11/2019;2020-05-22 15:04:30.182284;3.0;Story
133;Team M;TUH-1105;18/12/2019;2020-05-22 15:04:30.182284;2.0;Story
134;Team S;TUH-1104;19/11/2019;2020-05-22 15:04:30.182284;1.0;Story
135;Team O;TUH-1103;04/12/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
136;Team O;TUH-1102;18/11/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
137;Team O;TUH-1101;14/11/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
138;Team S;TUH-1100;18/11/2019;2020-05-22 15:04:30.182284;1.0;Bug
139;Team O;TUH-1099;19/11/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
140;Team O;TUH-1098;30/01/2020;2020-05-22 15:04:30.182284;5.0;Ops Task
141;Team S;TUH-1096;01/04/2020;2020-05-22 15:04:30.182284;3.0;Story
