,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
2959,169.09,Team C,2019-11-27,KEY-435,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2960,0.0,Team C,2019-11-27,KEY-435,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2961,169.07,Team C,2019-11-27,KEY-432,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2962,0.0,Team C,2019-11-27,KEY-432,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2963,169.04,Team C,2019-11-27,KEY-430,2020-05-18 15:23:26.721638,,2019-11-27,Open,Story
2964,0.0,Team C,2019-11-27,KEY-430,2020-05-18 15:23:26.721638,,2019-11-27,Withdrawn,Story
2965,169.08,Team C,2019-11-27,KEY-429,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2966,0.0,Team C,2019-11-27,KEY-429,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2967,169.07,Team C,2019-11-27,KEY-428,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2968,0.0,Team C,2019-11-27,KEY-428,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2969,169.06,Team C,2019-11-27,KEY-427,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2970,0.0,Team C,2019-11-27,KEY-427,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2971,169.06,Team C,2019-11-27,KEY-426,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2972,0.0,Team C,2019-11-27,KEY-426,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2973,181.82,Team C,2019-12-10,KEY-425,2020-05-18 15:23:26.721638,,2019-12-10,Open,Story
2974,0.0,Team C,2019-12-10,KEY-425,2020-05-18 15:23:26.721638,,2019-12-10,Withdrawn,Story
2975,169.06,Team C,2019-11-27,KEY-424,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
