,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
2780,32.02,Team A,2019-08-28,KEY-578,2020-05-18 15:23:26.721638,2.0,2019-08-28,Ready for Development,Ops Task
2781,16.94,Team A,2019-08-28,KEY-578,2020-05-18 15:23:26.721638,2.0,2019-08-28,In Development,Ops Task
2782,4.18,Team A,2019-08-28,KEY-578,2020-05-18 15:23:26.721638,2.0,2019-08-28,Code Review,Ops Task
2783,2.05,Team A,2019-08-28,KEY-578,2020-05-18 15:23:26.721638,2.0,2019-08-28,Ready For Signoff,Ops Task
2784,0.0,Team A,2019-08-28,KEY-578,2020-05-18 15:23:26.721638,2.0,2019-08-28,Done,Ops Task
2785,16.97,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Open,Ops Task
2786,19.16,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Backlog,Ops Task
2787,14.77,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Ready for Development,Ops Task
2788,2.04,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,In Development,Ops Task
2789,0.0,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Code Review,Ops Task
2790,0.0,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,In Testing,Ops Task
2791,0.22,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Ready For Signoff,Ops Task
2792,0.0,Team A,2019-08-09,KEY-577,2020-05-18 15:23:26.721638,3.0,2019-08-09,Done,Ops Task
2793,0.0,Team A,2019-08-07,KEY-576,2020-05-18 15:23:26.721638,2.0,2019-08-07,Open,Ops Task
2794,2.01,Team A,2019-08-07,KEY-576,2020-05-18 15:23:26.721638,2.0,2019-08-07,In Development,Ops Task
2795,0.12,Team A,2019-08-07,KEY-576,2020-05-18 15:23:26.721638,2.0,2019-08-07,Code Review,Ops Task
2796,49.23,Team A,2019-08-07,KEY-576,2020-05-18 15:23:26.721638,2.0,2019-08-07,Done,Ops Task
2797,0.0,Team A,2019-08-07,KEY-575,2020-05-18 15:23:26.721638,1.0,2019-08-07,Open,Ops Task
2798,0.0,Team A,2019-08-07,KEY-575,2020-05-18 15:23:26.721638,1.0,2019-08-07,In Development,Ops Task
2799,51.37,Team A,2019-08-07,KEY-575,2020-05-18 15:23:26.721638,1.0,2019-08-07,Done,Ops Task
2800,0.0,Team A,2019-08-07,KEY-574,2020-05-18 15:23:26.721638,0.5,2019-08-07,Open,Ops Task
2801,0.0,Team A,2019-08-07,KEY-574,2020-05-18 15:23:26.721638,0.5,2019-08-07,In Development,Ops Task
2802,51.37,Team A,2019-08-07,KEY-574,2020-05-18 15:23:26.721638,0.5,2019-08-07,Done,Ops Task
2803,2.83,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,Open,Ops Task
2804,4.14,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,In Development,Ops Task
2805,2.86,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,Code Review,Ops Task
2806,1.01,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,Merged,Ops Task
2807,6.18,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,Ready For Signoff,Ops Task
2808,37.14,Team A,2019-08-07,KEY-573,2020-05-18 15:23:26.721638,1.0,2019-08-07,Done,Ops Task
2809,153.23,Team B,2019-11-13,KEY-562,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2810,0.0,Team B,2019-11-13,KEY-562,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2811,212.39999999999998,Team A,2020-02-18,KEY-559,2020-05-18 15:23:26.721638,0.0,2020-02-18,Open,Ops Task
2812,37.77,Team A,2020-02-18,KEY-559,2020-05-18 15:23:26.721638,0.0,2020-02-18,Backlog,Ops Task
2813,0.0,Team A,2020-02-18,KEY-559,2020-05-18 15:23:26.721638,0.0,2020-02-18,Withdrawn,Ops Task
2814,212.39999999999998,Team A,2020-02-18,KEY-558,2020-05-18 15:23:26.721638,0.0,2020-02-18,Open,Ops Task
2815,37.77,Team A,2020-02-18,KEY-558,2020-05-18 15:23:26.721638,0.0,2020-02-18,Backlog,Ops Task
2816,0.0,Team A,2020-02-18,KEY-558,2020-05-18 15:23:26.721638,0.0,2020-02-18,Withdrawn,Ops Task
2817,212.39999999999998,Team A,2020-02-18,KEY-557,2020-05-18 15:23:26.721638,0.0,2020-02-18,Open,Ops Task
2818,37.77,Team A,2020-02-18,KEY-557,2020-05-18 15:23:26.721638,0.0,2020-02-18,Backlog,Ops Task
2819,0.0,Team A,2020-02-18,KEY-557,2020-05-18 15:23:26.721638,0.0,2020-02-18,Withdrawn,Ops Task
2820,212.39999999999998,Team A,2020-02-18,KEY-556,2020-05-18 15:23:26.721638,0.0,2020-02-18,Open,Ops Task
2821,37.77,Team A,2020-02-18,KEY-556,2020-05-18 15:23:26.721638,0.0,2020-02-18,Backlog,Ops Task
2822,0.0,Team A,2020-02-18,KEY-556,2020-05-18 15:23:26.721638,0.0,2020-02-18,Withdrawn,Ops Task
2823,263.08,Team A,2020-04-09,KEY-555,2020-05-18 15:23:26.721638,2.0,2020-04-09,Open,Ops Task
2824,37.77,Team A,2020-04-09,KEY-555,2020-05-18 15:23:26.721638,2.0,2020-04-09,Backlog,Ops Task
2825,0.0,Team A,2020-04-09,KEY-555,2020-05-18 15:23:26.721638,2.0,2020-04-09,Withdrawn,Ops Task
2826,262.37,Team A,2020-04-08,KEY-554,2020-05-18 15:23:26.721638,2.0,2020-04-08,Open,Ops Task
2827,37.77,Team A,2020-04-08,KEY-554,2020-05-18 15:23:26.721638,2.0,2020-04-08,Backlog,Ops Task
2828,0.0,Team A,2020-04-08,KEY-554,2020-05-18 15:23:26.721638,2.0,2020-04-08,Done,Ops Task
2829,212.39,Team A,2020-04-08,KEY-553,2020-05-18 15:23:26.721638,1.0,2020-04-08,Open,Ops Task
2830,37.77,Team A,2020-04-08,KEY-553,2020-05-18 15:23:26.721638,1.0,2020-04-08,Backlog,Ops Task
